activation,n_positive,n_negative,lower_lr,upper_lr,total_loss
sigmoid,1,1,-6,-6,0.504267578125
sigmoid,1,1,-6,-5,0.4971728515625
sigmoid,1,1,-6,-4,0.495947265625
sigmoid,1,1,-6,-3,0.496240234375
sigmoid,1,1,-6,-2,0.50890625
sigmoid,1,1,-6,-1,0.4997265625
sigmoid,1,1,-6,0,0.5030712890625
sigmoid,4,1,-6,-6,0.485302734375
sigmoid,4,1,-6,-5,0.491259765625
sigmoid,4,1,-6,-4,0.494970703125
sigmoid,4,1,-6,-3,0.482666015625
sigmoid,4,1,-6,-2,0.4893115234375
sigmoid,4,1,-6,-1,0.4922265625
sigmoid,4,1,-6,0,0.4897900390625
sigmoid,7,1,-6,-6,0.4966796875
sigmoid,7,1,-6,-5,0.500048828125
sigmoid,7,1,-6,-4,0.50107421875
sigmoid,7,1,-6,-3,0.50498046875
sigmoid,7,1,-6,-2,0.519140625
sigmoid,7,1,-6,-1,0.500830078125
sigmoid,7,1,-6,0,0.489208984375
sigmoid,1,4,-6,-6,0.513623046875
sigmoid,1,4,-6,-5,0.502734375
sigmoid,1,4,-6,-4,0.504345703125
sigmoid,1,4,-6,-3,0.493359375
sigmoid,1,4,-6,-2,0.4965576171875
sigmoid,1,4,-6,-1,0.4947265625
sigmoid,1,4,-6,0,0.4919384765625
sigmoid,4,4,-6,-6,0.50568359375
sigmoid,4,4,-6,-5,0.506328125
sigmoid,4,4,-6,-4,0.5182177734375
sigmoid,4,4,-6,-3,0.5075146484375
sigmoid,4,4,-6,-2,0.50015625
sigmoid,4,4,-6,-1,0.4473974609375
sigmoid,4,4,-6,0,0.3677880859375
sigmoid,7,4,-6,-6,0.502099609375
sigmoid,7,4,-6,-5,0.508837890625
sigmoid,7,4,-6,-4,0.49775390625
sigmoid,7,4,-6,-3,0.51240234375
sigmoid,7,4,-6,-2,0.502626953125
sigmoid,7,4,-6,-1,0.4983447265625
sigmoid,7,4,-6,0,0.464052734375
sigmoid,1,7,-6,-6,0.5140625
sigmoid,1,7,-6,-5,0.510498046875
sigmoid,1,7,-6,-4,0.50146484375
sigmoid,1,7,-6,-3,0.503173828125
sigmoid,1,7,-6,-2,0.49658203125
sigmoid,1,7,-6,-1,0.49716796875
sigmoid,1,7,-6,0,0.50185546875
sigmoid,4,7,-6,-6,0.499462890625
sigmoid,4,7,-6,-5,0.502490234375
sigmoid,4,7,-6,-4,0.5136962890625
sigmoid,4,7,-6,-3,0.5086962890625
sigmoid,4,7,-6,-2,0.5032421875
sigmoid,4,7,-6,-1,0.50275390625
sigmoid,4,7,-6,0,0.480751953125
sigmoid,7,7,-6,-6,0.49404296875
sigmoid,7,7,-6,-5,0.4818994140625
sigmoid,7,7,-6,-4,0.516630859375
sigmoid,7,7,-6,-3,0.4955517578125
sigmoid,7,7,-6,-2,0.499755859375
sigmoid,7,7,-6,-1,0.4714013671875
sigmoid,7,7,-6,0,0.3932568359375
sigmoid,1,1,-5,-5,0.4992822265625
sigmoid,1,1,-5,-4,0.48814453125
sigmoid,1,1,-5,-3,0.5180078125
sigmoid,1,1,-5,-2,0.5138232421875
sigmoid,1,1,-5,-1,0.5024560546875
sigmoid,1,1,-5,0,0.4969775390625
sigmoid,4,1,-5,-5,0.515625
sigmoid,4,1,-5,-4,0.504052734375
sigmoid,4,1,-5,-3,0.499833984375
sigmoid,4,1,-5,-2,0.5015576171875
sigmoid,4,1,-5,-1,0.5016015625
sigmoid,4,1,-5,0,0.502470703125
sigmoid,7,1,-5,-5,0.495947265625
sigmoid,7,1,-5,-4,0.494580078125
sigmoid,7,1,-5,-3,0.50986328125
sigmoid,7,1,-5,-2,0.50126953125
sigmoid,7,1,-5,-1,0.493701171875
sigmoid,7,1,-5,0,0.497265625
sigmoid,1,4,-5,-5,0.50361328125
sigmoid,1,4,-5,-4,0.4990234375
sigmoid,1,4,-5,-3,0.512109375
sigmoid,1,4,-5,-2,0.51501953125
sigmoid,1,4,-5,-1,0.5168115234375
sigmoid,1,4,-5,0,0.4889599609375
sigmoid,4,4,-5,-5,0.508447265625
sigmoid,4,4,-5,-4,0.4865087890625
sigmoid,4,4,-5,-3,0.4847119140625
sigmoid,4,4,-5,-2,0.478408203125
sigmoid,4,4,-5,-1,0.434833984375
sigmoid,4,4,-5,0,0.3650732421875
sigmoid,7,4,-5,-5,0.496875
sigmoid,7,4,-5,-4,0.50263671875
sigmoid,7,4,-5,-3,0.50654296875
sigmoid,7,4,-5,-2,0.4947412109375
sigmoid,7,4,-5,-1,0.4898681640625
sigmoid,7,4,-5,0,0.4777685546875
sigmoid,1,7,-5,-5,0.495556640625
sigmoid,1,7,-5,-4,0.509521484375
sigmoid,1,7,-5,-3,0.489111328125
sigmoid,1,7,-5,-2,0.486767578125
sigmoid,1,7,-5,-1,0.50703125
sigmoid,1,7,-5,0,0.507861328125
sigmoid,4,7,-5,-5,0.501123046875
sigmoid,4,7,-5,-4,0.510107421875
sigmoid,4,7,-5,-3,0.510302734375
sigmoid,4,7,-5,-2,0.504189453125
sigmoid,4,7,-5,-1,0.484375
sigmoid,4,7,-5,0,0.427626953125
sigmoid,7,7,-5,-5,0.5050390625
sigmoid,7,7,-5,-4,0.5080810546875
sigmoid,7,7,-5,-3,0.4867578125
sigmoid,7,7,-5,-2,0.485830078125
sigmoid,7,7,-5,-1,0.4560009765625
sigmoid,7,7,-5,0,0.3882373046875
sigmoid,1,1,-4,-4,0.49634765625
sigmoid,1,1,-4,-3,0.5052734375
sigmoid,1,1,-4,-2,0.480126953125
sigmoid,1,1,-4,-1,0.500732421875
sigmoid,1,1,-4,0,0.496083984375
sigmoid,4,1,-4,-4,0.48974609375
sigmoid,4,1,-4,-3,0.4995849609375
sigmoid,4,1,-4,-2,0.4994140625
sigmoid,4,1,-4,-1,0.5039697265625
sigmoid,4,1,-4,0,0.4912451171875
sigmoid,7,1,-4,-4,0.505078125
sigmoid,7,1,-4,-3,0.5029296875
sigmoid,7,1,-4,-2,0.49580078125
sigmoid,7,1,-4,-1,0.49287109375
sigmoid,7,1,-4,0,0.48720703125
sigmoid,1,4,-4,-4,0.50693359375
sigmoid,1,4,-4,-3,0.5089404296875
sigmoid,1,4,-4,-2,0.486435546875
sigmoid,1,4,-4,-1,0.4843798828125
sigmoid,1,4,-4,0,0.4921142578125
sigmoid,4,4,-4,-4,0.500634765625
sigmoid,4,4,-4,-3,0.5012890625
sigmoid,4,4,-4,-2,0.475078125
sigmoid,4,4,-4,-1,0.470517578125
sigmoid,4,4,-4,0,0.335810546875
sigmoid,7,4,-4,-4,0.49541015625
sigmoid,7,4,-4,-3,0.486630859375
sigmoid,7,4,-4,-2,0.4915380859375
sigmoid,7,4,-4,-1,0.485322265625
sigmoid,7,4,-4,0,0.45216796875
sigmoid,1,7,-4,-4,0.51123046875
sigmoid,1,7,-4,-3,0.503759765625
sigmoid,1,7,-4,-2,0.49345703125
sigmoid,1,7,-4,-1,0.484423828125
sigmoid,1,7,-4,0,0.495029296875
sigmoid,4,7,-4,-4,0.4931103515625
